"","Predicted","Actual"
"Anaerococcus_octavius",0.451158689779142,0.342629482071713
"Bifidobacterium_longum",0.230572325368905,0.342629482071713
"Streptococcus_troglodytae",0.43371632832067,0.294820717131474
"Treponema_pedis",0.421880873591245,0.290836653386454
"Lactobacillus_johnsonii",0.366975365015582,0.258964143426295
"Streptococcus_sobrinus",0.479194301226467,0.258964143426295
"Desulfovibrio_fairfieldensis",0.167938742268495,0.258964143426295
"Lactobacillus_reuteri",0.234837660850849,0.258964143426295
"Simonsiella_muelleri",0.313851391454665,0.258964143426295
"Staphylococcus_epidermidis",0.205342837559133,0.258964143426295
"Neisseria_lactamica",0.372330186828444,0.258964143426295
"Streptococcus_peroris",0.43083201086092,0.258964143426295
"Streptococcus_suis",0.345563125648666,0.258964143426295
"Actinomyces_turicensis",0.285912674089964,0.258964143426295
"Neisseria_gonorrhoeae",0.0594212403573317,0.258964143426295
"Actinomyces_radicidentis",0.175202156334231,0.258964143426295
"Corynebacterium_mustelae",0.035249248975262,0.258964143426295
"Prevotella_buccae",0.226278314771218,0.219123505976096
"Prevotella_jejuni",0.415645304088306,0.207171314741036
"Prevotella_pleuritidis",0.467357256367787,0.199203187250996
"Streptococcus_vestibularis",0.2974759498591,0
"Acinetobacter_johnsonii",0.0749070912118712,0
"Neisseria_sicca",0.549400139554775,0
"Cloacibacterium_normanense",0.172167815225583,0
"Actinomyces_howellii",0.156525769580852,0
"Prevotella_scopos",0.321279916565622,0
"Bacillus_pumilus",0.102009129693758,0
"Actinobaculum_massiliense",0.139733304226018,0
"Mannheimia_granulomatis",0.198946105062814,0
"Prevotella_veroralis",0.453951153597466,0
"Azospira_oryzae",0.0851181607825387,0
"Prevotella_dentalis",0.181186769774833,0
"Corynebacterium_jeikeium",0.161538934480501,0
"Campylobacter_curvus",0.42956959173811,0
"Treponema_parvum",0.450285001299151,0
"Neisseria_shayeganii",0.181720011147121,0
"Bifidobacterium_dentium",0.228253110745424,0
"Bacteroides_acidifaciens",0.246170363590682,0
"Bacteroides_intestinalis",0.24188949828392,0
"Prevotella_copri",0.212982660552757,0
