"","CoreAssociationScore","HealthAssociationScore","StabilityAssociationScore","HAC_Score","HAC_Score_RankScaled","mean_scores","RewardGini","HAC_Score_confirm"
"Actinomyces_georgiae",0.671232876712329,0.771372827995399,0.36573732237012,0.467569173817523,0.753012048192771,0.602781009025949,0.775686637130591,0.467569173817523
"Prevotella_pleuritidis",0.621917808219178,0.838305281427216,0.390364999230828,0.467549268893612,0.751004016064257,0.616862696292408,0.757947062942484,0.467549268893612
"Eubacterium_brachy",0.741095890410959,0.691732053843515,0.353227319615594,0.466062231024901,0.748995983935743,0.595351754623356,0.782835067513576,0.466062231024901
"Actinobacillus_rossii",0.423287671232877,0.853108918084398,0.531794893972754,0.459456745479502,0.746987951807229,0.602730494430009,0.762292184857847,0.459456745479502
"Peptostreptococcus_stomatis",0.947945205479452,0.241425702811245,0.892294784793665,0.458382063472052,0.744979919678715,0.693888564361454,0.660598959277956,0.458382063472052
"Treponema_denticola",0.757534246575343,0.640433997295715,0.366528539136995,0.457830358523235,0.742971887550201,0.588165594336018,0.778403842271804,0.457830358523235
"Selenomonas_infelix",0.76986301369863,0.301142459284374,0.801867886787957,0.457382644089126,0.740963855421687,0.624291119923653,0.732643200411149,0.457382644089126
"Actinomyces_sp_HMSC035G02",0.505479452054794,0.432126495933483,0.863395539494457,0.456577481307253,0.738955823293173,0.600333829160911,0.760539318507859,0.456577481307253
"Filifactor_alocis",0.782191780821918,0.366305422695808,0.623174629771452,0.451928491721023,0.736947791164659,0.590557277763059,0.765257679039803,0.451928491721023
"Veillonella_denticariosi",0.423287671232877,0.613781457488244,0.503135623039975,0.449903655168576,0.734939759036145,0.513401583920365,0.87631918026642,0.449903655168576
"Selenomonas_noxia",0.80958904109589,0.389660249036346,0.567862230531559,0.449060909534751,0.732931726907631,0.589037173554599,0.762364294981336,0.449060909534751
"Eggerthia_catenaformis",0.423287671232877,0.588445742770075,0.498016115010628,0.448197152492127,0.730923694779116,0.503249843004526,0.890605647914918,0.448197152492127
"Prevotella_saccharolytica",0.693150684931507,0.317905794030393,0.842787742619985,0.442987424330764,0.728915662650602,0.617948073860628,0.71686836332898,0.442987424330764
"Pasteurella_pneumotropica",0.423287671232877,0.621082420132792,0.481036706807017,0.44253734975759,0.726907630522088,0.508468932724229,0.870333114329333,0.44253734975759
"Faecalibacterium_prausnitzii",0.552054794520548,0.587921838106194,0.386324290256598,0.441567791677915,0.724899598393574,0.508766974294447,0.8679175614539,0.441567791677915
"Haemophilus_influenzae",0.741095890410959,0.411153256241045,0.491960823903474,0.438089112128521,0.72289156626506,0.548069990185159,0.799330596408896,0.438089112128521
"Streptococcus_pyogenes",0.505479452054794,0.432126495933483,0.442614134976882,0.435622375614616,0.720883534136546,0.460073360988386,0.946854159690442,0.435622375614616
"Bergeyella_zoohelcum",0.423287671232877,0.606995217049101,0.456336870463577,0.434304070976443,0.718875502008032,0.495539919581851,0.876426002859507,0.434304070976443
"Granulicatella_elegans",0.757534246575343,0.385539545115134,0.531820247473716,0.434299779234661,0.716867469879518,0.558298013054731,0.777899560950231,0.434299779234661
"Prevotella_ruminicola",0.423287671232877,0.563851587253537,0.455206968151003,0.433927436872252,0.714859437751004,0.480782075545806,0.902544955278622,0.433927436872252
"Bacteroides_vulgatus",0.423287671232877,0.454903029202236,0.554185758464155,0.43382612388933,0.71285140562249,0.477458819633089,0.908614745503519,0.43382612388933
"Eubacterium_nodatum",0.693150684931507,0.633081370708967,0.333944120269551,0.433656537082689,0.710843373493976,0.553392058636675,0.783633466210261,0.433656537082689
"Abiotrophia_defectiva",0.782191780821918,0.293883069968315,0.712354243486311,0.433373461140981,0.708835341365462,0.596143031425515,0.726962219292718,0.433373461140981
"Streptococcus_thermophilus",0.96986301369863,0.793174607979657,0.252749208353057,0.432891008228591,0.706827309236948,0.671928943343782,0.644251170479955,0.432891008228591
"Acinetobacter_johnsonii",0.423287671232877,0.441572016710056,0.510894948966374,0.429382453058603,0.704819277108434,0.458584878969769,0.936320565177007,0.429382453058603
"Prevotella_baroniae",0.591780821917808,0.347384815644487,0.615478526941853,0.428850151068928,0.70281124497992,0.518214721501383,0.827553007036261,0.428850151068928
"Actinomyces_sp_oral_taxon_181",0.423287671232877,0.436647898125164,0.879525482605929,0.427741080196972,0.700803212851406,0.579820350654657,0.737713120476064,0.427741080196972
"Eubacterium_biforme",0.423287671232877,0.451000686161732,0.43638847420658,0.427654605557444,0.698795180722892,0.436892277200396,0.978855951169137,0.427654605557444
"Centipeda_periodontii",0.731506849315068,0.275112510342879,0.899640974157983,0.427243956666942,0.696787148594378,0.635420111271977,0.672380286817945,0.427243956666942
"Actinomyces_turicensis",0.423287671232877,0.432126495933483,0.617212446064296,0.426233946133079,0.694779116465863,0.490875537743552,0.868313683122984,0.426233946133079
"Actinomyces_sp_ICM47",0.621917808219178,0.523223446550019,0.37613545727821,0.425164787035479,0.692771084337349,0.507092237349136,0.838436788656166,0.425164787035479
"Fusobacterium_nucleatum",0.972602739726027,0.396339024439466,0.476615478648959,0.423097842509297,0.690763052208835,0.615185747604818,0.687756249484971,0.423097842509297
"Streptococcus_parasanguinis",0.923287671232877,0.38798238178846,0.491703440381675,0.422556067986199,0.688755020080321,0.600991164467671,0.703098636001544,0.422556067986199
"Gemella_morbillorum",0.841095890410959,0.452213073399124,0.403868682530692,0.419983479486836,0.686746987951807,0.565725882113592,0.742379821686341,0.419983479486836
"Dorea_longicatena",0.552054794520548,0.428259470040968,0.415267935763349,0.419598447189222,0.684738955823293,0.465194066774955,0.901985810133321,0.419598447189222
"Gemella_haemolysans",0.908219178082192,0.542300357207725,0.356027949288624,0.418118751928324,0.682730923694779,0.602182494859514,0.694338934621255,0.418118751928324
"Methylobacterium_jeotgali",0.423287671232877,0.670808459970535,0.411002222274537,0.415097371927317,0.680722891566265,0.501699451159316,0.827382551382344,0.415097371927317
"Atopobium_rimae",0.79041095890411,0.28931151742649,0.645968597591937,0.408197210814972,0.678714859437751,0.575230357974179,0.709623901374996,0.408197210814972
"Lautropia_mirabilis",0.908219178082192,0.427791366470909,0.394456258866431,0.405567961401257,0.676706827309237,0.576822267806511,0.70310732445111,0.405567961401257
"Leptotrichia_sp_oral_taxon_215",0.505479452054794,0.355597061613287,0.749168511727818,0.405557858427123,0.674698795180723,0.536748341798633,0.755582880923501,0.405557858427123
"Lachnoanaerobaculum_orale",0.845205479452055,0.213770156000888,0.781547767569737,0.403029359857171,0.672690763052209,0.61350780100756,0.656926218697266,0.403029359857171
"Dialister_succinatiphilus",0.423287671232877,0.581854856612379,0.390283659887038,0.401284997002318,0.670682730923695,0.465142062577431,0.862714919349003,0.401284997002318
"Mycoplasma_faucium",0.505479452054794,0.488877015600089,0.355193433123164,0.399754627282139,0.668674698795181,0.449849966926016,0.888639894793822,0.399754627282139
"Treponema_medium",0.83013698630137,0.38014288309015,0.437883780471918,0.399389848884072,0.666666666666667,0.549387883287812,0.726972437932055,0.399389848884072
"Prevotella_jejuni",0.591780821917808,0.302428608907994,0.736526904155935,0.398879346577932,0.664658634538153,0.543578778327246,0.733802279414592,0.398879346577932
"Actinomyces_gerencseriae",0.552054794520548,0.524816451736595,0.313104068304692,0.383674862781993,0.662650602409639,0.463325104853945,0.828089949718869,0.383674862781993
"Rothia_mucilaginosa",0.958904109589041,0.648956428729995,0.248437642328803,0.381943904462534,0.660642570281124,0.618766060215946,0.617267056194448,0.381943904462534
"Parvimonas_micra",0.932876712328767,0.37955671933967,0.385468693267624,0.381527377315655,0.65863453815261,0.565967374978687,0.674115495314588,0.381527377315655
"Eikenella_corrodens",0.797260273972603,0.299139976993401,0.544520582941109,0.380933512309304,0.656626506024096,0.546973611302371,0.69643855651881,0.380933512309304
"Slackia_exigua",0.552054794520548,0.294101430849024,0.794564672337108,0.380085885406199,0.654618473895582,0.546906965902227,0.694973567906884,0.380085885406199
"Actinomyces_hyovaginalis",0.423287671232877,0.351173639280741,0.522369660776203,0.375211649931453,0.652610441767068,0.43227699042994,0.867988947453043,0.375211649931453
"Prevotella_buccae",0.552054794520548,0.431808237977034,0.343276131700043,0.372786833792374,0.650602409638554,0.442379721399208,0.84268517691833,0.372786833792374
"Streptococcus_oligofermentans",0.552054794520548,0.531190187887227,0.269699030412945,0.356862749571039,0.64859437751004,0.450981337606907,0.79130269883162,0.356862749571039
