"","HAC_Score_RankScaled","HACK_16s","HACK_WGS","HAC_Exposure"
"Moraxella_bovoculi",0.51004016064257,0.561330561330561,NA,NA
"Selenomonas_bovis",0.508032128514056,0.444906444906445,NA,0
"Neisseria_dentiae",0.506024096385542,0.48024948024948,NA,0
"Collinsella_aerofaciens",0.504016064257028,0.573804573804574,NA,0.386150234741784
"Bacteroides_heparinolyticus",0.502008032128514,0.540540540540541,0.333333333333333,0.386150234741784
"Atopobium_vaginae",0.5,0.482328482328482,0.491228070175439,0
"Haemophilus_parasuis",0.497991967871486,0.542619542619543,NA,0.386150234741784
"Ornatilinea_apprima",0.495983935742972,0.553014553014553,NA,0.386150234741784
"Streptococcus_constellatus",0.493975903614458,0.584199584199584,NA,0.386150234741784
"Campylobacter_curvus",0.491967871485944,0.494802494802495,0.263157894736842,0.386150234741784
"Streptococcus_sobrinus",0.48995983935743,0.56964656964657,0.114035087719298,0.386150234741784
"Actinomyces_oris",0.487951807228916,0.515592515592516,0.671052631578947,0
"Clostridium_ultunense",0.485943775100402,0.51975051975052,NA,0.386150234741784
"Barnesiella_viscericola",0.483935742971888,0.501039501039501,NA,0.386150234741784
"Sutterella_wadsworthensis",0.481927710843373,0.548856548856549,NA,0.386150234741784
"Fusobacterium_russii",0.479919678714859,0.457380457380457,NA,0.386150234741784
"Streptococcus_agalactiae",0.477911646586345,0.609147609147609,NA,0.386150234741784
"Alysiella_crassa",0.475903614457831,0.438669438669439,NA,0.386150234741784
"Desulfomicrobium_orale",0.473895582329317,0.459459459459459,0.381578947368421,0.386150234741784
"Prevotella_falsenii",0.471887550200803,0.538461538461538,NA,0.386150234741784
"Gemella_cuniculi",0.469879518072289,0.43035343035343,NA,0.386150234741784
"Eubacterium_hallii",0.467871485943775,0.471933471933472,NA,0.386150234741784
"Ruminococcus_bromii",0.465863453815261,0.604989604989605,NA,0
"Bergeriella_denitrificans",0.463855421686747,0.478170478170478,NA,0.386150234741784
"Blautia_luti",0.461847389558233,0.505197505197505,NA,0.386150234741784
"Actinomyces_suimastitidis",0.459839357429719,0.490644490644491,NA,0.386150234741784
"Mannheimia_granulomatis",0.457831325301205,0.455301455301455,NA,0.386150234741784
"Chryseobacterium_kwangjuense",0.455823293172691,0.509355509355509,NA,0.386150234741784
"Bacteroides_pyogenes",0.453815261044177,0.496881496881497,NA,0.386150234741784
"Bradyrhizobium_elkanii",0.451807228915663,0.420997920997921,NA,0
"Moraxella_lacunata",0.449799196787149,0.440748440748441,NA,0.386150234741784
"Paraprevotella_clara",0.447791164658635,0.532224532224532,NA,0.386150234741784
