"","Node1","Node2","Weight"
"17775","Leptotrichia_buccalis","Leptotrichia_wadei",1
"17781","Prevotella_pallens","Leptotrichia_wadei",1
"17798","Actinomyces_meyeri","Leptotrichia_wadei",1
"17800","Prevotella_salivae","Leptotrichia_wadei",1
"17806","Prevotella_veroralis","Leptotrichia_wadei",1
"17831","Lachnoanaerobaculum_saburreum","Leptotrichia_wadei",1
"17833","Leptotrichia_hofstadii","Leptotrichia_wadei",1
"17862","Actinomyces_graevenitzii","Leptotrichia_wadei",1
"17863","Alloprevotella_rava","Leptotrichia_wadei",1
"17865","Atopobium_parvulum","Leptotrichia_wadei",1
"17888","Selenomonas_sputigena","Leptotrichia_wadei",1
"17911","Leptotrichia_goodfellowii","Leptotrichia_wadei",1
"17922","Megasphaera_micronuciformis","Leptotrichia_wadei",1
"17928","Veillonella_atypica","Leptotrichia_wadei",1
"17957","Rothia_aeria","Streptococcus_mitis",1
"18003","Streptococcus_pneumoniae","Streptococcus_mitis",1
"18013","Haemophilus_parainfluenzae","Streptococcus_mitis",1
"18021","Streptococcus_gordonii","Streptococcus_mitis",1
"18034","Gemella_haemolysans","Streptococcus_mitis",1
"18039","Streptococcus_oralis","Streptococcus_mitis",1
"18107","Granulicatella_elegans","Streptococcus_mitis",1
"18113","Abiotrophia_defectiva","Streptococcus_mitis",1
"18114","Gemella_morbillorum","Streptococcus_mitis",1
"18352","Treponema_denticola","Prevotella_oris",1
"18357","Prevotella_denticola","Prevotella_oris",1
"18359","Actinomyces_oris","Prevotella_oris",1
"18360","Dialister_invisus","Prevotella_oris",1
"18387","Prevotella_marshii","Prevotella_oris",1
"18392","Selenomonas_noxia","Prevotella_oris",1
"18399","Filifactor_alocis","Prevotella_oris",1
"18409","Tannerella_forsythia","Prevotella_oris",1
"18440","Treponema_lecithinolyticum","Prevotella_oris",1
"18454","Capnocytophaga_ochracea","Prevotella_oris",1
"18456","Prevotella_intermedia","Prevotella_oris",1
"18458","Selenomonas_sputigena","Prevotella_oris",1
"18479","Treponema_medium","Prevotella_oris",1
"18499","Campylobacter_gracilis","Prevotella_oris",1
"18504","Prevotella_nigrescens","Prevotella_oris",1
"18505","Corynebacterium_matruchotii","Prevotella_oris",1
"18507","Parvimonas_micra","Prevotella_oris",1
"18508","Scardovia_wiggsiae","Prevotella_oris",1
