"","Node1","Node2","Weight"
"11764","Prevotella_aurantiaca","Prevotella_maculosa",1
"11765","Leptotrichia_shahii","Prevotella_maculosa",1
"11773","Selenomonas_sputigena","Prevotella_maculosa",1
"11886","Gardnerella_vaginalis","Haemophilus_influenzae",1
"12251","Veillonella_dispar","Veillonella_parvula",1
"12255","Actinomyces_odontolyticus","Veillonella_parvula",1
"12283","Prevotella_salivae","Veillonella_parvula",1
"12292","Prevotella_veroralis","Veillonella_parvula",1
"12327","Streptococcus_gordonii","Veillonella_parvula",1
"12339","Leptotrichia_hongkongensis","Veillonella_parvula",1
"12362","Atopobium_parvulum","Veillonella_parvula",1
"12376","Selenomonas_flueggei","Veillonella_parvula",1
"12569","Leptotrichia_buccalis","Capnocytophaga_sputigena",1
"12573","Capnocytophaga_leadbetteri","Capnocytophaga_sputigena",1
"12602","Planobacterium_taklimakanense","Capnocytophaga_sputigena",1
"12646","Fusobacterium_periodonticum","Capnocytophaga_sputigena",1
"13214","Prevotella_baroniae","Treponema_medium",1
"13218","Treponema_denticola","Treponema_medium",1
"13220","Porphyromonas_endodontalis","Treponema_medium",1
"13221","Eubacterium_yurii","Treponema_medium",1
"13229","Dialister_invisus","Treponema_medium",1
"13246","Anaeroglobus_geminatus","Treponema_medium",1
"13271","Porphyromonas_gingivalis","Treponema_medium",1
"13276","Filifactor_alocis","Treponema_medium",1
"13291","Tannerella_forsythia","Treponema_medium",1
"13305","Prevotella_pleuritidis","Treponema_medium",1
"13316","Alloprevotella_rava","Treponema_medium",1
"13322","Treponema_amylovorum","Treponema_medium",1
"13327","Treponema_lecithinolyticum","Treponema_medium",1
"13330","Treponema_socranskii","Treponema_medium",1
"13347","Prevotella_fusca","Treponema_medium",1
"13348","Selenomonas_sputigena","Treponema_medium",1
"13352","Alloprevotella_tannerae","Treponema_medium",1
"13357","Prevotella_maculosa","Treponema_medium",1
"13381","Treponema_denticola","Selenomonas_infelix",1
"13384","Eubacterium_yurii","Selenomonas_infelix",1
"13417","Prevotella_dentalis","Selenomonas_infelix",1
"13419","Peptococcus_niger","Selenomonas_infelix",1
"13426","Treponema_parvum","Selenomonas_infelix",1
"13454","Tannerella_forsythia","Selenomonas_infelix",1
"13479","Alloprevotella_rava","Selenomonas_infelix",1
"13489","Propionivibrio_pelophilus","Selenomonas_infelix",1
"13497","Peptostreptococcus_stomatis","Selenomonas_infelix",1
"13508","Prevotella_intermedia","Selenomonas_infelix",1
"13511","Selenomonas_sputigena","Selenomonas_infelix",1
"13515","Alloprevotella_tannerae","Selenomonas_infelix",1
"13548","Eubacterium_yurii","Leptotrichia_goodfellowii",1
"13680","Actinomyces_georgiae","Leptotrichia_goodfellowii",1
"14257","Lautropia_mirabilis","Neisseria_elongata",1
"14281","Fusobacterium_periodonticum","Neisseria_elongata",1
"14286","Capnocytophaga_granulosa","Neisseria_elongata",1
"14374","Actinomyces_odontolyticus","Oribacterium_sinus",1
"14378","Prevotella_pallens","Oribacterium_sinus",1
"14386","Prevotella_denticola","Oribacterium_sinus",1
"14402","Prevotella_salivae","Oribacterium_sinus",1
"14410","Lactobacillus_johnsonii","Oribacterium_sinus",1
"14427","Actinobacillus_rossii","Oribacterium_sinus",1
"14430","Selenomonas_noxia","Oribacterium_sinus",1
"14431","Bifidobacterium_dentium","Oribacterium_sinus",1
"14443","Lachnoanaerobaculum_saburreum","Oribacterium_sinus",1
"14470","Gardnerella_vaginalis","Oribacterium_sinus",1
"14487","Shuttleworthia_satelles","Oribacterium_sinus",1
"14495","Selenomonas_flueggei","Oribacterium_sinus",1
"14496","Peptostreptococcus_stomatis","Oribacterium_sinus",1
"14510","Selenomonas_sputigena","Oribacterium_sinus",1
"14519","Prevotella_maculosa","Oribacterium_sinus",1
"14700","Selenomonas_infelix","Solobacterium_moorei",1
"14796","Capnocytophaga_granulosa","Eggerthia_catenaformis",1
"14800","Gemella_haemolysans","Eggerthia_catenaformis",1
"14993","Pseudomonas_aeruginosa","Granulicatella_elegans",1
"15238","Prevotella_pallens","Campylobacter_concisus",1
"15246","Prevotella_denticola","Campylobacter_concisus",1
"15262","Prevotella_salivae","Campylobacter_concisus",1
"15290","Selenomonas_noxia","Campylobacter_concisus",1
"15301","Bacteroides_heparinolyticus","Campylobacter_concisus",1
"15303","Lachnoanaerobaculum_saburreum","Campylobacter_concisus",1
"15308","Campylobacter_mucosalis","Campylobacter_concisus",1
"15334","Eubacterium_sulci","Campylobacter_concisus",1
"15338","Alloprevotella_rava","Campylobacter_concisus",1
"15352","Treponema_socranskii","Campylobacter_concisus",1
"15355","Selenomonas_flueggei","Campylobacter_concisus",1
"15370","Selenomonas_sputigena","Campylobacter_concisus",1
