"","ChenC_2018","JesusV_2021","ZhengH_2015","ZhangX_2015","XiaoC_2016","HavsedK_2021","PangL_2021","GalimanasV_2014","JulianM_2017","NajmanovaL_2021","ProctorD_2018","SantosA_2021"
"Dialister_succinatiphilus",-3,NA,NA,NA,NA,1,NA,NA,1,NA,1,1
"Neisseria_gonorrhoeae",NA,NA,NA,1,NA,1,2,NA,-1,NA,-3,1
"Ruminococcus_bromii",3,NA,NA,-1,NA,NA,1,NA,NA,NA,-1,-1
"Prevotella_jejuni",NA,NA,NA,-3,1,NA,-3,NA,NA,NA,NA,-1
"Vagococcus_lutrae",NA,NA,NA,NA,NA,-1,NA,NA,-1,1,1,-1
"Variovorax_paradoxus",3,NA,NA,NA,NA,NA,NA,NA,NA,-1,3,-1
"Anaerococcus_octavius",1,NA,NA,NA,NA,NA,NA,NA,-1,1,-1,-1
"Streptococcus_massiliensis",3,NA,NA,NA,NA,-1,NA,NA,3,NA,-3,-1
"Bifidobacterium_longum",NA,NA,NA,-1,NA,1,1,1,NA,NA,1,1
"Necropsobacter_rosorum",NA,NA,NA,NA,NA,-2,NA,NA,1,NA,-1,1
"Enterococcus_faecium",3,NA,NA,NA,NA,1,NA,NA,-1,1,3,-1
"Actinomyces_radicidentis",1,NA,NA,NA,NA,-1,NA,NA,-1,NA,-3,1
"Actinomyces_johnsonii",NA,NA,-1,-1,-1,NA,3,NA,NA,NA,1,NA
"Streptococcus_troglodytae",3,NA,NA,NA,NA,-3,NA,NA,-1,NA,-3,NA
"Corynebacterium_mustelae",NA,NA,NA,NA,NA,1,NA,NA,-1,NA,-3,NA
"Actinomyces_hongkongensis",NA,NA,NA,-1,NA,NA,1,NA,NA,NA,-3,NA
"Actinomyces_sp_oral_taxon_170",NA,NA,NA,-1,NA,NA,3,NA,NA,NA,NA,NA
"Actinomyces_sp_oral_taxon_180",NA,NA,NA,-2,NA,NA,-1,NA,NA,NA,NA,NA
"Actinomyces_sp_oral_taxon_448",NA,NA,NA,-1,NA,NA,-3,NA,NA,NA,NA,NA
"Actinomyces_sp_oral_taxon_897",NA,NA,NA,3,NA,NA,-1,NA,NA,NA,NA,NA
