"","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score"
"Actinomyces_hyovaginalis",0,1,-0.039999600004,0,1,-0.039999600004,0,1,-0.039999600004,1,0,0.039999600004,1,1,0,1,1,0,0,1,-0.039999600004,0,0,0,0,0,0,1,1,0
"Prevotella_marshii",0,3,-0.119999600001333,2,1,0.0199999000005,2,2,0,0,2,-0.079999600002,2,2,0,1,3,-0.0533331555561481,1,3,-0.0533331555561481,2,3,-0.013333288889037,2,3,-0.013333288889037,2,2,0
"Treponema_parvum",0,3,-0.119999600001333,2,3,-0.013333288889037,1,2,-0.0199999000005,1,3,-0.0533331555561481,2,1,0.0199999000005,1,3,-0.0533331555561481,0,2,-0.079999600002,1,1,0,1,3,-0.0533331555561481,1,4,-0.0899997750005625
"Lautropia_mirabilis",1,1,0,2,2,0,2,1,0.0199999000005,0,1,-0.039999600004,1,2,-0.0199999000005,2,1,0.0199999000005,2,2,0,1,2,-0.0199999000005,2,2,0,2,1,0.0199999000005
"Barnesiella_intestinihominis",2,3,-0.013333288889037,2,3,-0.013333288889037,1,2,-0.0199999000005,2,3,-0.013333288889037,2,1,0.0199999000005,2,3,-0.013333288889037,3,1,0.0533331555561481,3,2,0.013333288889037,3,2,0.013333288889037,1,2,-0.0199999000005
"Actinobacillus_rossii",2,1,0.0199999000005,4,1,0.0899997750005625,5,0,0.1999996000008,4,0,0.159999600001,4,0,0.159999600001,1,0,0.039999600004,4,1,0.0899997750005625,1,0,0.039999600004,2,1,0.0199999000005,4,0,0.159999600001
"Actinomyces_gerencseriae",3,1,0.0533331555561481,1,1,0,2,1,0.0199999000005,1,2,-0.0199999000005,2,2,0,2,1,0.0199999000005,2,2,0,1,2,-0.0199999000005,3,2,0.013333288889037,3,1,0.0533331555561481
"Bacteroides_stercoris",3,3,0,1,3,-0.0533331555561481,3,2,0.013333288889037,2,2,0,3,2,0.013333288889037,2,2,0,3,1,0.0533331555561481,3,1,0.0533331555561481,3,2,0.013333288889037,2,2,0
"Neisseria_shayeganii",2,1,0.0199999000005,2,1,0.0199999000005,3,0,0.119999600001333,2,0,0.079999600002,2,1,0.0199999000005,3,1,0.0533331555561481,2,1,0.0199999000005,2,1,0.0199999000005,2,0,0.079999600002,3,1,0.0533331555561481
"Selenomonas_noxia",0,2,-0.079999600002,2,1,0.0199999000005,2,2,0,0,2,-0.079999600002,2,1,0.0199999000005,1,2,-0.0199999000005,1,2,-0.0199999000005,2,2,0,2,1,0.0199999000005,2,1,0.0199999000005
"Bifidobacterium_dentium",1,3,-0.0533331555561481,0,4,-0.159999600001,1,3,-0.0533331555561481,0,6,-0.239999600000667,0,4,-0.159999600001,0,5,-0.1999996000008,0,4,-0.159999600001,1,3,-0.0533331555561481,0,3,-0.119999600001333,0,2,-0.079999600002
