,Axis1,Axis2,Axis3,CS,HS,SS,sHACK,cluster,cx,cy,cluster_factor,High_sHACK,Module2
Leptotrichia_shahii,11.9750025335645,-4.16570234329912,-1.13039401956852,0.76986301369863,0.442506912070392,0.683515612656499,0.79718875502008,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Actinomyces_lingnae,-3.27992359857286,0.835078102355823,-18.7838926231614,0.938356164383562,0.581682206211782,0.485116694556557,0.795180722891566,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Porphyromonas_endodontalis,22.6885900523993,2.83128470595646,10.0850068289653,0.836986301369863,0.444754293556134,0.65605390044793,0.793172690763052,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Olsenella_profusa,13.5512852983844,11.1418693654967,0.6923672639466,0.66027397260274,0.852407014994652,0.43923714713143,0.791164658634538,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Streptococcus_salivarius,-5.7353170300554,8.27364672580362,-16.4830858181509,0.857534246575342,0.561162539605659,0.487185091392384,0.789156626506024,1,0.234670503340864,11.7573950781623,1,FALSE,FALSE
Olsenella_uli,13.5538884985582,13.1531815507458,2.27581026789346,0.591780821917808,0.510680208270267,0.512020898270495,0.78714859437751,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Capnocytophaga_granulosa,16.3771823931868,-7.90555294960081,4.77963551828499,0.782191780821918,0.373532017517305,0.866946558701813,0.785140562248996,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Fretibacterium_fastidiosum,23.9428379870603,8.88472119279797,10.8820262812346,0.80958904109589,0.579987588545135,0.473688706512106,0.783132530120482,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Aggregatibacter_sp_oral_taxon_458,-4.52373377458454,-7.29832860394668,-5.70577222096972,0.505479452054794,0.702434965994632,0.515711653467608,0.781124497991968,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Soonwooa_buanensis,0.0587983850377786,-9.06143323121285,0.168202317095142,0.423287671232877,0.769282355552865,0.672875367976724,0.779116465863454,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Neisseria_shayeganii,3.26077709035755,-9.15032487397344,2.370146682849,0.423287671232877,0.751955056406531,0.666368164675514,0.77710843373494,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Prevotella_histicola,-1.26678722154844,11.322022415249,-25.0693978888754,0.978082191780822,0.348705374260863,0.81456712170537,0.775100401606426,1,0.234670503340864,11.7573950781623,1,FALSE,FALSE
Sneathia_sanguinegens,0.184502913936605,0.574820241518942,-6.07686538217612,0.423287671232877,0.662307723355735,0.803315186479379,0.773092369477912,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Treponema_pedis,9.53139773692808,1.28902019323852,5.0676412642255,0.505479452054794,0.760590906338924,0.49720341425475,0.771084337349398,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Butyrivibrio_fibrisolvens,1.5189600077954,0.646219983838185,-7.48521167662016,0.423287671232877,0.858649875885451,0.65152282285642,0.769076305220884,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Oribacterium_parvum,-5.08708663759775,-6.57720693265508,-9.30038691740528,0.423287671232877,0.649678210328752,0.975851999543506,0.767068273092369,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Bacteroides_intestinalis,4.46435184243225,-11.9431813842094,3.2389192808754,0.423287671232877,0.640354382353535,0.701655951280078,0.765060240963855,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Streptococcus_infantis,-0.518559568112246,-10.3315228360715,-3.89910934560986,0.749315068493151,0.354649855704224,0.796974808504516,0.763052208835341,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Prevotella_copri,-16.0242328907247,1.90817528190653,5.40621039389025,0.591780821917808,0.666522875421283,0.428181983673063,0.761044176706827,5,-16.9737184673674,2.78799675236001,5,FALSE,FALSE
Neisseria_bacilliformis,4.05587492337663,3.66616436179046,-5.6360534067191,0.552054794520548,0.445345300801195,0.565320677943029,0.759036144578313,1,0.234670503340864,11.7573950781623,1,FALSE,FALSE
Neisseria_canis,8.61509614139783,-8.19320332535032,3.94539401558597,0.423287671232877,0.589109806058404,0.801852140840445,0.757028112449799,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Johnsonella_ignava,17.2755194373039,-1.37762972763555,7.509561393678,0.505479452054794,0.462497225081229,0.905433009324434,0.755020080321285,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Actinomyces_georgiae,15.7389822647025,5.28471442909136,-0.671636564278918,0.671232876712329,0.771372827995399,0.36573732237012,0.753012048192771,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Prevotella_pleuritidis,13.3634548718508,2.7364085104291,1.95676022281023,0.621917808219178,0.838305281427216,0.390364999230828,0.751004016064257,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Eubacterium_brachy,21.2984799663106,6.43461141034303,6.06421226760822,0.741095890410959,0.691732053843515,0.353227319615594,0.748995983935743,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Actinobacillus_rossii,-0.177316787739447,-12.022250779398,-1.26856195904399,0.423287671232877,0.853108918084398,0.531794893972754,0.746987951807229,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Peptostreptococcus_stomatis,12.5035254134663,-10.8425350751648,-2.00049715747381,0.947945205479452,0.241425702811245,0.892294784793665,0.744979919678715,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Treponema_denticola,24.5476392958929,5.87748367332188,11.2104866435142,0.757534246575343,0.640433997295715,0.366528539136995,0.742971887550201,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Selenomonas_infelix,23.127838990674,3.54252993184858,7.51914642493522,0.76986301369863,0.301142459284374,0.801867886787957,0.740963855421687,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
