"","tax_id","lineage","species","subsite"
"Prevotella veroralis",28137,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella veroralis","Prevotella veroralis","saliva"
"Catonella morbi",43997,"Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Catonella;Catonella morbi","Catonella morbi","saliva"
"Prevotella shahii",228603,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Prevotella shahii","Prevotella shahii","saliva"
"Eubacterium yurii",39498,"Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Filifactoraceae;Peptoanaerobacter;Eubacterium yurii","Eubacterium yurii","saliva"
"Haemophilus parainfluenzae",729,"Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus parainfluenzae","Haemophilus parainfluenzae","saliva"
"Cardiobacterium hominis",2718,"Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;Cardiobacterium hominis","Cardiobacterium hominis","saliva"
"Neisseria elongata",495,"Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria elongata","Neisseria elongata","saliva"
"Capnocytophaga gingivalis",1017,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga gingivalis","Capnocytophaga gingivalis","saliva"
"Campylobacter showae",204,"Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter showae","Campylobacter showae","saliva"
"Leptotrichia buccalis",40542,"Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia buccalis","Leptotrichia buccalis","saliva"
"Leptotrichia hofstadii",157688,"Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia hofstadii","Leptotrichia hofstadii","saliva"
"Lachnoanaerobaculum saburreum",467210,"Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoanaerobaculum;Lachnoanaerobaculum saburreum","Lachnoanaerobaculum saburreum","saliva"
"Streptococcus lactarius",684066,"Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus lactarius","Streptococcus lactarius","saliva"
"Prevotella aurantiaca",596085,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella aurantiaca","Prevotella aurantiaca","saliva"
"Capnocytophaga leadbetteri",327575,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga leadbetteri","Capnocytophaga leadbetteri","saliva"
"Cardiobacterium valvarum",194702,"Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;Cardiobacterium valvarum","Cardiobacterium valvarum","saliva"
"Actinomyces odontolyticus",1660,"Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;Actinomyces odontolyticus","Actinomyces odontolyticus","saliva"
"Haemophilus pittmaniae",249188,"Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus pittmaniae","Haemophilus pittmaniae","saliva"
"Leptotrichia wadei",157687,"Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia wadei","Leptotrichia wadei","saliva"
"Oribacterium sinus",237576,"Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium sinus","Oribacterium sinus","saliva"
"Leptotrichia goodfellowii",157692,"Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;Leptotrichia goodfellowii","Leptotrichia goodfellowii","saliva"
"Prevotella oulorum",28136,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Prevotella oulorum","Prevotella oulorum","saliva"
"Prevotella salivae",228604,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Prevotella salivae","Prevotella salivae","saliva"
"Prevotella loescheii",840,"Bacteria;Pseudomonadati;FCB group;Bacteroidota_Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Prevotella loescheii","Prevotella loescheii","saliva"
"Neisseria meningitidis",487,"Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis","Neisseria meningitidis","saliva"
"Leptotrichia hongkongensis",554406,"Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia hongkongensis","Leptotrichia hongkongensis","saliva"
"Eubacterium infirmum",56774,"Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Anaerovoracaceae;unclassified Anaerovoracaceae Incertae Sedis;Eubacterium infirmum","Eubacterium infirmum","saliva"
"Streptococcus mutans",1309,"Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans","Streptococcus mutans","saliva"
"Orientia tsutsugamushi",784,"Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsieae;Orientia;Orientia tsutsugamushi","Orientia tsutsugamushi","saliva"
"Actinomyces massiliensis",461393,"Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces massiliensis","Actinomyces massiliensis","saliva"
