"cluster"	"degree"	"betweenness"	"sHACK"	"CS"	"HS"	"SS"	"within_group_propensity"	"across_group_propensity"	"species"
"Prevotella_shahii"	2	11	93.2342833092833	0.975903614457831	0.80958904109589	0.861951423785595	0.974180955546584	0.125	0	"Prevotella_shahii"
"Prevotella_denticola"	3	56	294.699453218898	0.825301204819277	0.821917808219178	0.456750216948195	0.729917211412483	0.395833333333333	0.0645161290322581	"Prevotella_denticola"
"Prevotella_scopos"	2	1	0	0.592369477911647	0	0.858949466206535	0.919036794660782	0	0	"Prevotella_scopos"
"Actinomyces_oris"	3	7	37.88765777398	0.487951807228916	0.645205479452055	0.225887166757482	0.167204178279079	0.0520833333333333	0.00537634408602151	"Actinomyces_oris"
"Dialister_invisus"	3	67	128.275872922526	0.849397590361446	0.857534246575342	0.551573328489839	0.621260745653002	0.5	0.0860215053763441	"Dialister_invisus"
"Granulicatella_adiacens"	2	1	0	0.238955823293173	0.720547945205479	0.0417757462008839	0.190402161213507	0	0	"Granulicatella_adiacens"
"Prevotella_enoeca"	3	32	49.1555745456851	0.811244979919679	0.505479452054794	0.589867005711287	0.733409024020595	0.260416666666667	0.010752688172043	"Prevotella_enoeca"
"Lachnoanaerobaculum_orale"	1	17	4.39986468851875	0.672690763052209	0.845205479452055	0.213770156000888	0.781547767569737	0.15	0.0330578512396694	"Lachnoanaerobaculum_orale"
"Orientia_tsutsugamushi"	4	10	1	0.921686746987952	0.591780821917808	0.956406631551331	0.860571526272323	0.0483870967741935	0.0227272727272727	"Orientia_tsutsugamushi"
"Mogibacterium_diversum"	4	2	0.1	0.808232931726908	0.552054794520548	0.523223446550019	0.834319528497336	0.0161290322580645	0	"Mogibacterium_diversum"
"Actinomyces_meyeri"	3	5	2.73763736263736	0.903614457831325	0.645205479452055	0.656641541038526	0.816437718555124	0.0416666666666667	0	"Actinomyces_meyeri"
"Bergeyella_zoohelcum"	4	12	7.06114718614719	0.718875502008032	0.423287671232877	0.606995217049101	0.456336870463577	0	0.0409090909090909	"Bergeyella_zoohelcum"
"Capnocytophaga_leadbetteri"	2	23	0	0.951807228915663	0.901369863013699	0.706367580876269	0.847740955671633	0.225	0.0247524752475248	"Capnocytophaga_leadbetteri"
"Prevotella_salivae"	1	35	320.619141031396	0.933734939759036	1	0.629500615527436	0.862691090220211	0.35	0.0661157024793388	"Prevotella_salivae"
"Actinobaculum_massiliense"	3	12	14.642667420299	0.325301204819277	0	0.351173639280741	0.361341170117066	0.09375	0.00537634408602151	"Actinobaculum_massiliense"
"Eubacterium_nodatum"	3	36	39.3260316651486	0.710843373493976	0.693150684931507	0.633081370708967	0.333944120269551	0.260416666666667	0.021505376344086	"Eubacterium_nodatum"
"Anaeroglobus_geminatus"	3	31	20.5457589671624	0.837349397590361	0.706849315068493	0.551405017053137	0.556476727766052	0.270833333333333	0.010752688172043	"Anaeroglobus_geminatus"
"Olsenella_uli"	3	29	88.3029663490341	0.78714859437751	0.591780821917808	0.510680208270267	0.512020898270495	0.208333333333333	0.0161290322580645	"Olsenella_uli"
"Prevotella_veroralis"	3	17	69.1425832422205	0.979919678714859	0.916438356164384	0.813351799156425	0.988286548093493	0.0416666666666667	0.0483870967741935	"Prevotella_veroralis"
"Dialister_propionicifaciens"	1	4	0.166666666666667	0.289156626506024	0	0.750691106133075	0.312768821379363	0	0.012396694214876	"Dialister_propionicifaciens"
"Rothia_dentocariosa"	3	25	80.2362873060443	0.594377510040161	0.887671232876712	0.512043147464229	0.176748609529591	0.0729166666666667	0.0806451612903226	"Rothia_dentocariosa"
